time,mrid,battery,phases,p_a,p_b,p_c,soc
1672587600,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,battery2,ABC,-27.306279632000003,-27.306279632000003,-27.306279632000003,60.12662832174548
1672587600,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,battery3,ABC,-33.333333333,-33.333333333,-33.333333333,38.56433657562693
1672587600,_B42011D9-38A0-4D06-8C84-49836267E66B,battery4,ABC,-50.0,-50.0,-50.0,50.83060292144403
1672587600,_50310945-A608-4A94-98A9-B6E45510F0BF,battery1,ABC,-41.666666667,-41.666666667,-41.666666667,45.585362501539
1672588200,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,battery5,ABC,-83.333333333,-83.333333333,-83.333333333,42.41979420236211
1672588200,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,battery2,ABC,-66.666666667,-66.666666667,-66.666666667,54.491580278618216
1672588200,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,battery3,ABC,-33.333333333,-33.333333333,-33.333333333,34.19030781296086
1672588200,_B42011D9-38A0-4D06-8C84-49836267E66B,battery4,ABC,-50.0,-50.0,-50.0,45.58176840624473
1672588200,_50310945-A608-4A94-98A9-B6E45510F0BF,battery1,ABC,-37.452009088,-37.452009088,-37.452009088,41.63769576607872
1672588800,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,battery5,ABC,-83.333333333,-83.333333333,-83.333333333,36.58775585214066
1672588800,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,battery2,ABC,-66.666666667,-66.666666667,-66.666666667,48.65954192839673
1672588800,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,battery3,ABC,-33.333333333,-33.333333333,-33.333333333,29.816279050294792
1672588800,_B42011D9-38A0-4D06-8C84-49836267E66B,battery4,ABC,-50.0,-50.0,-50.0,40.33293389104542
1672588800,_50310945-A608-4A94-98A9-B6E45510F0BF,battery1,ABC,-41.666666667,-41.666666667,-41.666666667,37.265926872814795
1672589400,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,battery5,ABC,-83.333333333,-83.333333333,-83.333333333,30.75571750191921
1672589400,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,battery2,ABC,-66.666666667,-66.666666667,-66.666666667,42.82750357817528
1672589400,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,battery3,ABC,-33.333333333,-33.333333333,-33.333333333,25.442250287628713
1672589400,_B42011D9-38A0-4D06-8C84-49836267E66B,battery4,ABC,-50.0,-50.0,-50.0,35.08409937584611
1672589400,_50310945-A608-4A94-98A9-B6E45510F0BF,battery1,ABC,-41.666666667,-41.666666667,-41.666666667,32.89189811014872
1672590000,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,battery5,ABC,-83.333333333,-83.333333333,-83.333333333,24.923679151697765
1672590000,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,battery2,ABC,-66.666666667,-66.666666667,-66.666666667,36.99546522795384
1672590000,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,battery3,ABC,-29.025334867,-29.025334867,-29.025334867,21.623182909325102
1672590000,_B42011D9-38A0-4D06-8C84-49836267E66B,battery4,ABC,-50.0,-50.0,-50.0,29.8352648606468
1672590000,_50310945-A608-4A94-98A9-B6E45510F0BF,battery1,ABC,-41.666666667,-41.666666667,-41.666666667,28.517869347482595
1672590600,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,battery5,ABC,-49.236791517,-49.236791517,-49.236791517,21.26518544105285
1672590600,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,battery2,ABC,-66.666666667,-66.666666667,-66.666666667,31.163426877732388
1672590600,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,battery3,ABC,-8.656975516000001,-8.656975516000001,-8.656975516000001,20.234245063308943
1672590600,_B42011D9-38A0-4D06-8C84-49836267E66B,battery4,ABC,-50.0,-50.0,-50.0,24.58643034544749
1672590600,_50310945-A608-4A94-98A9-B6E45510F0BF,battery1,ABC,-41.666666667,-41.666666667,-41.666666667,24.143840584816513
1672591200,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,battery5,ABC,-12.651854411,-12.651854411,-12.651854411,20.291113072767264
1672591200,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,battery2,ABC,-66.666666667,-66.666666667,-66.666666667,25.331388527510935
1672591200,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,battery3,ABC,-1.249307004,-1.249307004,-1.249307004,20.03410436146416
1672591200,_B42011D9-38A0-4D06-8C84-49836267E66B,battery4,ABC,-30.576202303,-30.576202303,-30.576202303,21.319935047491335
1672591200,_50310945-A608-4A94-98A9-B6E45510F0BF,battery1,ABC,-27.625603899,-27.625603899,-27.625603899,21.204577868638598
1672591800,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,battery5,ABC,-2.9111307280000003,-2.9111307280000003,-2.9111307280000003,19.97597182122483
1672591800,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,battery2,ABC,-42.651108220000005,-42.651108220000005,-42.651108220000005,21.262395826905475
1672591800,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,battery3,ABC,-0.181889928,-0.181889928,-0.181889928,19.987038994952123
